customer_id,total_watch_count,action_watch,drama_watch,comedy_watch,age_group,membership_type,prefer_action
106,34.0,14.0,3.0,8.0,20대,스탠다드,선호
107,31.0,9.0,16.0,15.0,,스탠다드,비선호
108,46.0,6.0,19.0,2.0,20대,프리미엄,선호
109,44.0,4.0,0.0,7.0,20대,스탠다드,비선호
110,22.0,2.0,11.0,7.0,30대,스탠다드,비선호
111,26.0,7.0,19.0,13.0,20대,프리미엄,비선호
112,61.0,5.0,4.0,11.0,30대,스탠다드,비선호
113,33.0,5.0,0.0,6.0,20대,스탠다드,선호
114,23.0,11.0,19.0,1.0,40대이상,베이직,선호
115,35.0,16.0,10.0,20.0,20대,베이직,선호
116,24.0,7.0,7.0,0.0,20대,스탠다드,비선호
117,24.0,3.0,13.0,14.0,30대,스탠다드,비선호
118,28.0,4.0,16.0,0.0,30대,프리미엄,비선호
119,55.0,12.0,13.0,8.0,40대이상,스탠다드,선호
120,64.0,7.0,24.0,6.0,20대,스탠다드,선호
121,50.0,6.0,16.0,8.0,20대,베이직,비선호
122,57.0,7.0,8.0,4.0,40대이상,베이직,선호
123,27.0,10.0,8.0,8.0,20대,프리미엄,선호
124,40.0,2.0,11.0,0.0,30대,베이직,비선호
125,38.0,9.0,9.0,5.0,40대이상,베이직,선호
126,37.0,0.0,11.0,2.0,30대,프리미엄,비선호
127,54.0,12.0,18.0,0.0,20대,프리미엄,선호
128,17.0,3.0,2.0,4.0,30대,베이직,비선호
129,28.0,7.0,10.0,4.0,30대,스탠다드,비선호
130,54.0,13.0,8.0,0.0,40대이상,프리미엄,선호
131,38.0,7.0,22.0,2.0,30대,스탠다드,비선호
132,19.0,14.0,9.0,4.0,30대,프리미엄,선호
133,40.0,5.0,15.0,8.0,40대이상,스탠다드,선호
134,28.0,11.0,7.0,10.0,30대,스탠다드,선호
135,53.0,14.0,2.0,5.0,30대,베이직,선호
136,44.0,7.0,7.0,0.0,20대,베이직,선호
137,30.0,14.0,0.0,12.0,30대,스탠다드,선호
138,31.0,0.0,21.0,11.0,40대이상,스탠다드,비선호
139,23.0,12.0,12.0,8.0,30대,스탠다드,선호
140,54.0,10.0,8.0,9.0,20대,스탠다드,선호
141,39.0,4.0,15.0,7.0,30대,베이직,선호
142,39.0,6.0,16.0,12.0,40대이상,베이직,비선호
143,56.0,-0.0,14.0,4.0,30대,베이직,선호
144,40.0,7.0,5.0,2.0,20대,베이직,선호
145,45.0,20.0,4.0,4.0,40대이상,프리미엄,선호
146,21.0,4.0,0.0,12.0,20대,베이직,선호
147,22.0,15.0,9.0,12.0,30대,베이직,선호
148,39.0,9.0,13.0,2.0,20대,프리미엄,선호
149,41.0,1.0,8.0,9.0,30대,베이직,비선호
150,42.0,19.0,11.0,9.0,20대,스탠다드,선호
151,50.0,7.0,16.0,4.0,10대,스탠다드,비선호
152,33.0,2.0,1.0,7.0,10대,스탠다드,선호
153,29.0,14.0,5.0,10.0,20대,프리미엄,선호
154,18.0,11.0,12.0,5.0,30대,베이직,선호
155,40.0,6.0,20.0,13.0,20대,베이직,선호
156,45.0,7.0,13.0,6.0,10대,베이직,비선호
157,35.0,19.0,17.0,2.0,20대,스탠다드,선호
158,44.0,5.0,2.0,0.0,20대,베이직,비선호
159,60.0,3.0,12.0,11.0,40대이상,스탠다드,비선호
160,28.0,6.0,14.0,7.0,40대이상,베이직,선호
161,30.0,9.0,15.0,5.0,10대,베이직,선호
162,30.0,11.0,8.0,12.0,30대,스탠다드,선호
163,66.0,4.0,18.0,8.0,20대,프리미엄,선호
164,18.0,11.0,9.0,2.0,10대,스탠다드,선호
165,36.0,7.0,11.0,4.0,20대,베이직,비선호
166,44.0,16.0,15.0,0.0,30대,베이직,선호
167,28.0,7.0,9.0,12.0,40대이상,스탠다드,비선호
168,49.0,2.0,28.0,0.0,10대,베이직,선호
169,29.0,7.0,13.0,13.0,40대이상,스탠다드,비선호
170,9.0,11.0,17.0,4.0,10대,베이직,선호
171,35.0,7.0,2.0,2.0,30대,베이직,선호
172,45.0,11.0,17.0,1.0,20대,베이직,선호
173,47.0,7.0,6.0,7.0,20대,스탠다드,비선호
174,37.0,17.0,2.0,8.0,40대이상,프리미엄,선호
175,41.0,10.0,17.0,10.0,20대,프리미엄,비선호
176,54.0,14.0,6.0,10.0,20대,베이직,선호
177,32.0,5.0,7.0,12.0,20대,베이직,선호
178,26.0,12.0,7.0,1.0,30대,스탠다드,선호
179,38.0,0.0,17.0,8.0,40대이상,스탠다드,비선호
180,14.0,17.0,17.0,2.0,30대,스탠다드,선호
181,24.0,9.0,12.0,7.0,40대이상,프리미엄,선호
182,42.0,7.0,20.0,3.0,20대,프리미엄,선호
183,27.0,2.0,18.0,8.0,10대,프리미엄,비선호
184,38.0,8.0,20.0,9.0,30대,베이직,비선호
185,16.0,0.0,15.0,11.0,40대이상,프리미엄,비선호
186,72.0,11.0,17.0,0.0,20대,베이직,선호
187,44.0,0.0,9.0,11.0,30대,프리미엄,비선호
188,36.0,16.0,16.0,6.0,30대,스탠다드,선호
189,47.0,13.0,17.0,14.0,30대,베이직,선호
190,42.0,1.0,11.0,10.0,10대,스탠다드,비선호
191,46.0,4.0,13.0,7.0,20대,베이직,비선호
192,46.0,0.0,15.0,2.0,20대,베이직,비선호
193,23.0,16.0,11.0,8.0,20대,스탠다드,선호
194,10.0,7.0,8.0,5.0,30대,베이직,비선호
195,64.0,10.0,3.0,0.0,30대,베이직,선호
196,20.0,2.0,11.0,9.0,40대이상,프리미엄,비선호
197,55.0,11.0,0.0,8.0,20대,스탠다드,선호
198,19.0,5.0,5.0,-0.0,40대이상,스탠다드,비선호
199,42.0,16.0,14.0,7.0,20대,베이직,선호
200,43.0,8.0,11.0,4.0,40대이상,베이직,선호
201,60.0,9.0,27.0,3.0,30대,베이직,선호
202,49.0,18.0,18.0,7.0,20대,스탠다드,선호
203,39.0,10.0,18.0,10.0,40대이상,스탠다드,선호
204,49.0,11.0,18.0,1.0,30대,베이직,선호
205,19.0,4.0,7.0,13.0,10대,스탠다드,비선호
206,57.0,3.0,5.0,5.0,10대,스탠다드,비선호
207,30.0,13.0,8.0,10.0,30대,베이직,선호
208,41.0,5.0,19.0,18.0,20대,베이직,비선호
209,37.0,21.0,3.0,0.0,30대,베이직,선호
210,0.0,16.0,12.0,11.0,10대,스탠다드,선호
211,19.0,21.0,11.0,6.0,40대이상,베이직,선호
212,62.0,7.0,17.0,5.0,20대,베이직,선호
213,54.0,17.0,5.0,3.0,,스탠다드,선호
214,50.0,4.0,0.0,6.0,10대,스탠다드,선호
215,42.0,11.0,13.0,2.0,30대,스탠다드,선호
216,42.0,8.0,0.0,2.0,30대,프리미엄,선호
217,50.0,14.0,0.0,14.0,40대이상,스탠다드,선호
218,21.0,0.0,0.0,5.0,30대,베이직,선호
219,26.0,11.0,-0.0,9.0,30대,베이직,선호
220,17.0,12.0,16.0,4.0,10대,프리미엄,선호
221,37.0,11.0,0.0,12.0,30대,스탠다드,선호
222,49.0,10.0,10.0,0.0,40대이상,프리미엄,선호
223,41.0,7.0,4.0,0.0,,베이직,선호
224,33.0,15.0,1.0,5.0,40대이상,프리미엄,선호
225,33.0,5.0,21.0,0.0,40대이상,스탠다드,선호
226,43.0,7.0,1.0,4.0,10대,베이직,선호
227,35.0,9.0,12.0,1.0,40대이상,스탠다드,선호
228,51.0,0.0,20.0,11.0,10대,스탠다드,비선호
229,51.0,0.0,9.0,11.0,30대,베이직,비선호
230,48.0,15.0,7.0,15.0,40대이상,스탠다드,선호
231,38.0,6.0,14.0,5.0,40대이상,스탠다드,비선호
232,46.0,9.0,-0.0,5.0,40대이상,프리미엄,선호
233,55.0,9.0,16.0,8.0,30대,프리미엄,선호
234,48.0,12.0,4.0,0.0,30대,스탠다드,선호
235,21.0,13.0,8.0,2.0,20대,베이직,비선호
236,52.0,16.0,19.0,0.0,10대,베이직,비선호
237,34.0,9.0,6.0,0.0,10대,프리미엄,선호
238,35.0,18.0,6.0,10.0,40대이상,스탠다드,선호
239,60.0,21.0,2.0,4.0,20대,베이직,선호
240,54.0,10.0,11.0,9.0,20대,스탠다드,비선호
241,38.0,19.0,10.0,0.0,40대이상,스탠다드,선호
242,30.0,13.0,9.0,6.0,10대,베이직,선호
243,16.0,12.0,16.0,4.0,20대,베이직,선호
244,28.0,18.0,3.0,7.0,30대,프리미엄,선호
245,35.0,16.0,24.0,13.0,20대,프리미엄,선호
246,50.0,0.0,7.0,2.0,20대,베이직,비선호
247,30.0,11.0,7.0,9.0,30대,스탠다드,선호
248,45.0,15.0,18.0,7.0,10대,베이직,선호
249,69.0,9.0,17.0,7.0,20대,스탠다드,선호
250,41.0,13.0,13.0,8.0,20대,베이직,선호
251,75.0,8.0,13.0,7.0,30대,스탠다드,선호
252,52.0,0.0,0.0,6.0,30대,스탠다드,비선호
253,27.0,11.0,9.0,12.0,20대,베이직,선호
254,51.0,13.0,16.0,0.0,30대,스탠다드,선호
255,27.0,12.0,25.0,8.0,10대,스탠다드,선호
256,13.0,11.0,13.0,15.0,30대,베이직,선호
257,38.0,7.0,13.0,8.0,40대이상,스탠다드,선호
258,39.0,1.0,12.0,11.0,30대,베이직,선호
259,41.0,10.0,20.0,5.0,30대,프리미엄,선호
260,45.0,12.0,19.0,8.0,10대,베이직,비선호
261,43.0,6.0,6.0,4.0,20대,베이직,비선호
262,49.0,10.0,1.0,5.0,10대,베이직,비선호
263,58.0,16.0,14.0,10.0,10대,스탠다드,선호
264,30.0,20.0,16.0,0.0,20대,프리미엄,선호
265,26.0,12.0,22.0,15.0,20대,프리미엄,선호
266,48.0,0.0,10.0,4.0,10대,스탠다드,비선호
267,26.0,2.0,6.0,11.0,20대,베이직,비선호
268,49.0,11.0,5.0,0.0,20대,베이직,선호
269,26.0,1.0,15.0,5.0,30대,스탠다드,비선호
270,61.0,7.0,13.0,8.0,40대이상,프리미엄,선호
271,30.0,0.0,11.0,1.0,10대,프리미엄,비선호
272,56.0,12.0,9.0,8.0,40대이상,프리미엄,선호
273,53.0,7.0,12.0,1.0,40대이상,스탠다드,선호
274,22.0,12.0,18.0,2.0,30대,스탠다드,선호
275,68.0,0.0,2.0,0.0,30대,스탠다드,선호
276,47.0,9.0,11.0,7.0,30대,베이직,비선호
277,28.0,6.0,13.0,9.0,20대,스탠다드,선호
278,60.0,13.0,6.0,0.0,10대,스탠다드,선호
279,9.0,0.0,22.0,6.0,20대,베이직,비선호
280,33.0,14.0,23.0,13.0,20대,프리미엄,선호
281,47.0,21.0,12.0,1.0,30대,베이직,선호
282,26.0,10.0,10.0,6.0,30대,프리미엄,선호
283,45.0,7.0,5.0,3.0,20대,베이직,선호
284,56.0,3.0,10.0,2.0,20대,프리미엄,비선호
285,26.0,4.0,15.0,0.0,20대,베이직,선호
286,58.0,3.0,8.0,7.0,30대,스탠다드,비선호
287,21.0,1.0,10.0,-0.0,20대,프리미엄,비선호
288,56.0,5.0,27.0,11.0,20대,스탠다드,선호
289,49.0,-0.0,4.0,-0.0,40대이상,베이직,비선호
290,48.0,2.0,11.0,11.0,40대이상,베이직,선호
291,55.0,5.0,4.0,11.0,40대이상,베이직,선호
292,12.0,14.0,10.0,2.0,,베이직,선호
293,29.0,6.0,14.0,2.0,20대,베이직,선호
294,26.0,15.0,6.0,13.0,20대,스탠다드,선호
295,32.0,7.0,6.0,0.0,30대,스탠다드,선호
296,11.0,12.0,5.0,0.0,10대,베이직,선호
297,19.0,5.0,11.0,-0.0,30대,스탠다드,비선호
298,39.0,1.0,17.0,5.0,10대,베이직,비선호
299,37.0,13.0,21.0,8.0,20대,프리미엄,선호
300,48.0,7.0,16.0,9.0,30대,프리미엄,비선호
301,42.0,13.0,2.0,8.0,40대이상,프리미엄,선호
302,46.0,2.0,21.0,5.0,20대,스탠다드,비선호
303,36.0,15.0,5.0,10.0,30대,프리미엄,선호
304,47.0,15.0,12.0,7.0,30대,베이직,선호
305,80.0,12.0,1.0,8.0,30대,베이직,선호
306,58.0,7.0,0.0,3.0,30대,프리미엄,선호
307,22.0,6.0,12.0,11.0,30대,프리미엄,비선호
308,27.0,3.0,11.0,14.0,40대이상,스탠다드,비선호
309,24.0,5.0,5.0,0.0,40대이상,스탠다드,비선호
310,51.0,4.0,1.0,10.0,30대,베이직,선호
311,58.0,15.0,17.0,8.0,30대,베이직,선호
312,38.0,6.0,18.0,3.0,20대,베이직,선호
313,32.0,16.0,12.0,21.0,30대,스탠다드,선호
314,43.0,17.0,7.0,15.0,10대,스탠다드,선호
315,53.0,1.0,14.0,2.0,30대,스탠다드,비선호
316,51.0,4.0,6.0,0.0,10대,베이직,선호
317,34.0,14.0,12.0,6.0,40대이상,프리미엄,비선호
318,50.0,8.0,18.0,2.0,20대,프리미엄,선호
319,32.0,9.0,22.0,9.0,20대,베이직,선호
320,22.0,6.0,10.0,7.0,30대,베이직,비선호
321,47.0,6.0,15.0,0.0,30대,스탠다드,선호
322,30.0,14.0,11.0,10.0,30대,스탠다드,선호
323,53.0,0.0,7.0,4.0,30대,스탠다드,비선호
324,9.0,-0.0,4.0,5.0,30대,스탠다드,비선호
325,32.0,8.0,8.0,8.0,10대,베이직,선호
326,73.0,0.0,0.0,4.0,10대,프리미엄,비선호
327,59.0,14.0,11.0,17.0,10대,스탠다드,선호
328,33.0,12.0,19.0,6.0,40대이상,스탠다드,선호
329,34.0,4.0,1.0,10.0,20대,베이직,비선호
330,49.0,9.0,7.0,7.0,20대,프리미엄,선호
331,30.0,3.0,12.0,0.0,20대,베이직,선호
332,35.0,21.0,14.0,4.0,,스탠다드,선호
333,57.0,8.0,24.0,10.0,40대이상,스탠다드,선호
334,36.0,3.0,16.0,9.0,20대,스탠다드,비선호
335,44.0,4.0,13.0,15.0,20대,스탠다드,선호
336,52.0,4.0,12.0,5.0,40대이상,베이직,비선호
337,64.0,9.0,7.0,4.0,40대이상,베이직,선호
338,47.0,21.0,9.0,9.0,20대,스탠다드,선호
339,45.0,0.0,0.0,6.0,30대,스탠다드,비선호
340,56.0,8.0,9.0,15.0,30대,스탠다드,선호
341,37.0,7.0,19.0,9.0,20대,프리미엄,선호
342,45.0,1.0,11.0,9.0,40대이상,스탠다드,선호
343,19.0,6.0,17.0,5.0,30대,베이직,선호
344,34.0,1.0,2.0,1.0,10대,베이직,비선호
345,32.0,11.0,15.0,5.0,30대,베이직,비선호
346,28.0,14.0,5.0,2.0,30대,베이직,선호
347,31.0,11.0,11.0,11.0,10대,스탠다드,선호
348,59.0,4.0,19.0,6.0,20대,프리미엄,선호
349,19.0,5.0,10.0,6.0,40대이상,베이직,비선호
350,37.0,7.0,20.0,12.0,30대,스탠다드,비선호
351,23.0,9.0,5.0,14.0,10대,프리미엄,선호
352,59.0,11.0,-0.0,12.0,30대,스탠다드,선호
353,26.0,0.0,6.0,6.0,20대,베이직,선호
354,59.0,12.0,14.0,2.0,20대,스탠다드,선호
355,32.0,0.0,14.0,11.0,20대,스탠다드,비선호
356,42.0,7.0,0.0,3.0,20대,스탠다드,비선호
357,55.0,12.0,9.0,11.0,,스탠다드,비선호
358,32.0,12.0,18.0,5.0,,스탠다드,선호
359,47.0,4.0,8.0,13.0,40대이상,베이직,비선호
360,43.0,6.0,5.0,2.0,30대,스탠다드,비선호
361,25.0,24.0,19.0,-0.0,30대,베이직,선호
362,69.0,0.0,17.0,7.0,,스탠다드,선호
363,51.0,4.0,12.0,13.0,20대,스탠다드,선호
364,13.0,3.0,17.0,1.0,20대,스탠다드,비선호
365,57.0,10.0,11.0,7.0,20대,스탠다드,선호
366,57.0,5.0,2.0,6.0,,프리미엄,선호
367,38.0,3.0,1.0,-0.0,20대,프리미엄,선호
368,38.0,3.0,18.0,8.0,20대,스탠다드,비선호
369,32.0,9.0,7.0,5.0,20대,스탠다드,선호
370,31.0,0.0,27.0,10.0,20대,스탠다드,비선호
371,30.0,7.0,2.0,7.0,30대,프리미엄,비선호
372,30.0,12.0,17.0,14.0,30대,프리미엄,비선호
373,37.0,4.0,22.0,8.0,20대,스탠다드,선호
374,35.0,8.0,10.0,4.0,30대,베이직,비선호
375,17.0,6.0,10.0,0.0,40대이상,베이직,선호
376,40.0,11.0,19.0,7.0,20대,베이직,비선호
377,39.0,10.0,3.0,12.0,20대,베이직,선호
378,31.0,9.0,15.0,10.0,10대,스탠다드,선호
379,17.0,0.0,0.0,4.0,10대,베이직,선호
380,3.0,4.0,13.0,2.0,10대,스탠다드,선호
381,41.0,5.0,12.0,3.0,40대이상,베이직,선호
382,64.0,9.0,13.0,16.0,30대,프리미엄,선호
383,42.0,10.0,18.0,15.0,20대,프리미엄,선호
384,55.0,4.0,15.0,7.0,20대,프리미엄,선호
385,37.0,12.0,19.0,8.0,40대이상,베이직,선호
386,75.0,11.0,0.0,1.0,30대,스탠다드,선호
387,44.0,16.0,23.0,1.0,30대,스탠다드,선호
388,57.0,7.0,14.0,7.0,20대,베이직,선호
389,36.0,0.0,0.0,6.0,30대,베이직,비선호
390,21.0,10.0,15.0,4.0,20대,베이직,선호
391,33.0,8.0,6.0,0.0,40대이상,프리미엄,선호
392,37.0,4.0,16.0,4.0,40대이상,베이직,선호
393,27.0,12.0,23.0,7.0,20대,베이직,선호
394,61.0,11.0,12.0,2.0,20대,스탠다드,선호
395,21.0,7.0,6.0,6.0,40대이상,베이직,비선호
396,47.0,11.0,14.0,-0.0,30대,프리미엄,선호
397,46.0,8.0,8.0,7.0,40대이상,프리미엄,선호
398,48.0,10.0,10.0,4.0,40대이상,스탠다드,선호
399,27.0,5.0,15.0,5.0,20대,프리미엄,선호
400,53.0,10.0,9.0,3.0,40대이상,프리미엄,선호
401,38.0,16.0,6.0,18.0,40대이상,프리미엄,선호
402,60.0,11.0,10.0,2.0,20대,베이직,비선호
403,5.0,0.0,14.0,6.0,40대이상,스탠다드,비선호
404,44.0,16.0,24.0,9.0,10대,스탠다드,선호
405,53.0,7.0,11.0,8.0,40대이상,스탠다드,선호
406,48.0,0.0,9.0,11.0,30대,스탠다드,비선호
407,27.0,3.0,10.0,3.0,30대,스탠다드,비선호
408,30.0,6.0,0.0,10.0,10대,베이직,선호
409,69.0,15.0,20.0,2.0,30대,베이직,선호
410,29.0,8.0,0.0,3.0,40대이상,베이직,선호
411,49.0,3.0,15.0,4.0,20대,베이직,선호
412,23.0,1.0,7.0,0.0,30대,스탠다드,비선호
413,35.0,5.0,15.0,3.0,30대,베이직,비선호
414,81.0,9.0,10.0,9.0,20대,프리미엄,비선호
415,69.0,0.0,10.0,10.0,20대,프리미엄,선호
416,29.0,12.0,1.0,3.0,20대,베이직,선호
417,54.0,5.0,18.0,10.0,40대이상,베이직,비선호
418,37.0,9.0,6.0,9.0,10대,스탠다드,선호
419,66.0,3.0,12.0,3.0,20대,스탠다드,비선호
420,36.0,15.0,17.0,7.0,30대,스탠다드,선호
421,20.0,10.0,9.0,2.0,30대,프리미엄,선호
422,28.0,4.0,9.0,13.0,30대,스탠다드,비선호
423,33.0,13.0,11.0,0.0,20대,베이직,선호
424,28.0,10.0,33.0,5.0,40대이상,스탠다드,비선호
425,33.0,2.0,7.0,0.0,20대,프리미엄,비선호
426,33.0,6.0,20.0,10.0,30대,스탠다드,비선호
427,27.0,3.0,0.0,4.0,10대,스탠다드,선호
428,46.0,6.0,0.0,8.0,20대,프리미엄,비선호
429,6.0,7.0,14.0,-0.0,10대,스탠다드,선호
430,36.0,20.0,9.0,8.0,20대,베이직,선호
431,46.0,7.0,-0.0,6.0,30대,프리미엄,선호
432,36.0,4.0,10.0,-0.0,10대,프리미엄,비선호
433,30.0,4.0,0.0,0.0,40대이상,스탠다드,선호
434,40.0,4.0,16.0,8.0,40대이상,프리미엄,비선호
435,29.0,2.0,12.0,17.0,40대이상,베이직,선호
436,35.0,3.0,0.0,7.0,40대이상,스탠다드,선호
437,53.0,3.0,0.0,1.0,10대,베이직,선호
438,61.0,5.0,15.0,0.0,30대,프리미엄,비선호
439,21.0,12.0,19.0,17.0,20대,프리미엄,선호
440,28.0,17.0,19.0,5.0,20대,프리미엄,선호
441,18.0,1.0,19.0,6.0,20대,스탠다드,비선호
442,37.0,-0.0,15.0,8.0,40대이상,프리미엄,비선호
443,39.0,4.0,0.0,14.0,30대,베이직,비선호
444,15.0,6.0,8.0,2.0,40대이상,스탠다드,비선호
445,47.0,4.0,1.0,0.0,30대,베이직,비선호
446,56.0,7.0,15.0,9.0,30대,프리미엄,선호
447,31.0,0.0,11.0,8.0,10대,프리미엄,비선호
448,47.0,4.0,10.0,1.0,40대이상,베이직,선호
449,47.0,18.0,12.0,14.0,30대,스탠다드,선호
450,49.0,16.0,7.0,13.0,30대,베이직,선호
451,31.0,5.0,15.0,6.0,20대,베이직,비선호
452,11.0,12.0,6.0,7.0,,프리미엄,선호
453,36.0,3.0,6.0,3.0,20대,베이직,선호
454,57.0,3.0,20.0,10.0,30대,스탠다드,비선호
455,43.0,5.0,3.0,2.0,20대,베이직,비선호
456,26.0,8.0,11.0,10.0,40대이상,스탠다드,선호
457,42.0,4.0,16.0,2.0,40대이상,프리미엄,비선호
458,43.0,2.0,19.0,10.0,10대,프리미엄,비선호
459,53.0,9.0,14.0,9.0,10대,스탠다드,선호
460,44.0,1.0,13.0,10.0,10대,스탠다드,비선호
461,70.0,5.0,10.0,5.0,30대,베이직,비선호
462,59.0,6.0,24.0,9.0,30대,스탠다드,선호
463,50.0,16.0,25.0,7.0,40대이상,베이직,선호
